
2021/09/21 (08:30:45) | ===> btop++ v.1.0.2
2021/09/21 (08:30:45) | INFO: Logger set to INFO
2021/09/21 (08:30:45) | INFO: Logger set to DEBUG
2021/09/21 (08:30:48) | INFO: Logger set to INFO
2021/09/21 (08:30:49) | INFO: Logger set to DEBUG
2021/09/21 (08:31:56) | DEBUG: Writing new config file
2021/09/21 (08:31:56) | INFO: Quitting! Runtime: 00:02:08

2021/09/21 (08:31:58) | ===> btop++ v.1.0.2
2021/09/21 (08:31:58) | INFO: Logger set to DEBUG
2021/09/21 (08:31:58) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/09/21 (08:31:58) | INFO: Running on /dev/pts/1
2021/09/21 (08:31:58) | DEBUG: Loading theme file: /usr/local/share/btop/themes/gruvbox_dark.theme
2021/09/21 (08:34:07) | DEBUG: Loading theme file: /usr/local/share/btop/themes/gruvbox_dark.theme
2021/09/21 (08:34:16) | DEBUG: Loading theme file: /usr/local/share/btop/themes/gruvbox_dark.theme
2021/09/21 (08:35:53) | DEBUG: Writing new config file
2021/09/21 (08:35:53) | INFO: Quitting! Runtime: 00:03:55

2021/09/21 (08:35:55) | ===> btop++ v.1.0.2
2021/09/21 (08:35:55) | INFO: Logger set to DEBUG
2021/09/21 (08:35:55) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/09/21 (08:35:55) | INFO: Running on /dev/pts/1
2021/09/21 (08:35:55) | DEBUG: Loading theme file: /usr/local/share/btop/themes/gruvbox_dark.theme
2021/09/21 (08:38:00) | DEBUG: Loading theme file: /usr/local/share/btop/themes/gruvbox_dark.theme
2021/09/21 (08:38:01) | DEBUG: Loading theme file: /usr/local/share/btop/themes/gruvbox_dark.theme
2021/09/21 (08:38:01) | DEBUG: Loading theme file: /usr/local/share/btop/themes/gruvbox_dark.theme
2021/09/21 (08:38:03) | DEBUG: Loading theme file: /usr/local/share/btop/themes/kyli0x.theme
2021/09/21 (08:38:03) | DEBUG: Loading theme file: /usr/local/share/btop/themes/matcha-dark-sea.theme
2021/09/21 (08:38:04) | DEBUG: Loading theme file: /usr/local/share/btop/themes/monokai.theme
2021/09/21 (08:38:04) | DEBUG: Loading theme file: /usr/local/share/btop/themes/nord.theme
2021/09/21 (08:38:05) | DEBUG: Loading theme file: /usr/local/share/btop/themes/solarized_dark.theme
2021/09/21 (08:38:05) | DEBUG: Loading theme file: /usr/local/share/btop/themes/whiteout.theme
2021/09/21 (08:38:07) | DEBUG: Loading theme file: /usr/local/share/btop/themes/adapta.theme
2021/09/21 (08:47:02) | DEBUG: Writing new config file
2021/09/21 (08:47:02) | INFO: Quitting! Runtime: 00:11:07

2021/09/22 (08:09:15) | ===> btop++ v.1.0.2
2021/09/22 (08:09:15) | INFO: Logger set to DEBUG
2021/09/22 (08:09:15) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/09/22 (08:09:15) | INFO: Running on /dev/pts/0

2021/09/22 (08:09:21) | ===> btop++ v.1.0.2
2021/09/22 (08:09:21) | INFO: Logger set to DEBUG
2021/09/22 (08:09:21) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/09/22 (08:09:21) | INFO: Running on /dev/pts/2
2021/09/22 (08:13:58) | DEBUG: Writing new config file
2021/09/22 (08:13:58) | INFO: Quitting! Runtime: 00:04:37

2021/09/23 (08:22:27) | ===> btop++ v.1.0.2
2021/09/23 (08:22:27) | INFO: Logger set to DEBUG
2021/09/23 (08:22:27) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/09/23 (08:22:27) | INFO: Running on /dev/pts/3

2021/09/23 (13:51:33) | ===> btop++ v.1.0.2
2021/09/23 (13:51:33) | INFO: Logger set to DEBUG
2021/09/23 (13:51:33) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/09/23 (13:51:33) | INFO: Running on /dev/pts/3

2021/09/25 (13:38:45) | ===> btop++ v.1.0.2
2021/09/25 (13:38:45) | INFO: Logger set to DEBUG
2021/09/25 (13:38:45) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/09/25 (13:38:45) | INFO: Running on /dev/pts/3

2021/09/27 (20:40:26) | ===> btop++ v.1.0.2
2021/09/27 (20:40:26) | INFO: Logger set to DEBUG
2021/09/27 (20:40:26) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/09/27 (20:40:26) | INFO: Running on /dev/pts/1

2021/09/29 (08:54:21) | ===> btop++ v.1.0.2
2021/09/29 (08:54:21) | INFO: Logger set to DEBUG
2021/09/29 (08:54:21) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/09/29 (08:54:21) | INFO: Running on /dev/pts/5
2021/09/29 (08:54:24) | INFO: Quitting! Runtime: 00:00:03

2021/09/29 (08:54:27) | ===> btop++ v.1.0.2
2021/09/29 (08:54:27) | INFO: Logger set to DEBUG
2021/09/29 (08:54:27) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/09/29 (08:54:27) | INFO: Running on /dev/pts/5
2021/09/29 (08:54:27) | ERROR: Runner thread died unexpectedly!
2021/09/29 (08:54:27) | INFO: Quitting! Runtime: 00:00:00

2021/09/29 (08:54:28) | ===> btop++ v.1.0.2
2021/09/29 (08:54:28) | INFO: Logger set to DEBUG
2021/09/29 (08:54:28) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/09/29 (08:54:28) | INFO: Running on /dev/pts/5

2021/10/04 (08:13:22) | ===> btop++ v.1.0.2
2021/10/04 (08:13:22) | INFO: Logger set to DEBUG
2021/10/04 (08:13:22) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/10/04 (08:13:22) | INFO: Running on /dev/pts/2
2021/10/04 (08:13:22) | ERROR: Runner thread died unexpectedly!
2021/10/04 (08:13:22) | INFO: Quitting! Runtime: 00:00:00

2021/10/04 (08:13:24) | ===> btop++ v.1.0.2
